,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$70K-$116K (Glassdoor est.),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
1,Sr Data Scientist,$70K-$116K (Glassdoor est.),"Description

The Senior Data Scientist is responsible for defining, building, and improving statistical models to improve business processes and outcomes in one or more healthcare domains such as Clinical, Enrollment, Claims, and Finance. As part of the broader analytics team, Data Scientist will gather and analyze data to solve and address complex business problems and evaluate scenarios to make predictions on future outcomes and work with the business to communicate and support decision-making. This position requires strong analytical skills and experience in analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods and other complex statistical techniques.

Duties & Responsibilities:

• Develops advanced statistical models to predict, quantify or forecast various operational and performance metrics in multiple healthcare domains
• Investigates, recommends, and initiates acquisition of new data resources from internal and external sources
• Works with multiple teams to support data collection, integration, and retention requirements based on business needs
• Identifies critical and emerging technologies that will support and extend quantitative analytic capabilities
• Collaborates with business subject matter experts to select relevant sources of information
• Develops expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis and predictive modeling, graph theory, recommender systems, text analytics and validation
• Develops expertise with Healthfirst datasets, data repositories, and data movement processes
• Assists on projects/requests and may lead specific tasks within the project scope
• Prepares and manipulates data for use in development of statistical models
• Other duties as assigned

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.

If you have a disability under the Americans with Disability Act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.
EEO Law Poster and Supplement

]]>",3.1,"Healthfirst
3.1","New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna"
2,Data & Analytics Consultant,$70K-$116K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.

WHAT WE DO

Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
Data Strategy and Governance
Database Architecture and Development
Data Analysis
Reporting and Data Visualization
The ideal candidate will:
Have experience understanding and solving real business problems
Solid writing and speaking skills to support data storytelling
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:
Experience with statistical and mathematical modeling, artificial intelligence and machine learning software and methods
Specialization in architecting enterprise solutions with visualizations and data-discovery tools such as Tableau, QlikView, Spotfire, Amazon Web Services, Cloud, Salesforce
Technical capabilities that include designing scalable data architectures, solution performance tuning, and hardware sizing
Experience and knowledge of programming and scripting languages, such as , Python, Java, C#, PL/SQL, R and SAS
Experience and knowledge of relational and dimensional database structures, theories, principles, and practice used in data warehousing and analytics solutions
Experience managing, populating, and querying database technologies including RDBMS, NOSQL, and big data platforms and experience working with these technologies' ecosystems
QUALIFICATIONS

Required
Demonstrated business and technology acumen
Proven track record of delivering results
Experience working with and/or leading a team
Ability to work independently
Ability to work across industries, roles, functions & technologies
Positive can-do attitude
A curiosity for new technology
Authorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)
Preferred
Bachelor’s degree (Mathematics, Computer Science, or related field preferred)
8+ years professional experience
Consulting experience
Experience across our service offerings",4.6,"SEI
4.6","Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
3,"Scientist, Pharmacology",$70K-$116K (Glassdoor est.),"Sutro has a unique capability that enables new molecular entities to be designed using a hybrid of synthetic and recombinant technologies to create best in class therapeutics in the oncology and auto-immune disease space. Our portfolio includes antibody-drug conjugates, bispecific antibodies, cytokine derivatives and other novel immuno-stimulatory approaches.

Sutro Biopharma is looking for a talented and energetic team player to help drive preclinical/clinical advancement of our drug portfolios within the Translational Pharmacology and Preclinical Development (TP/PD), Pharmacology group.

Responsibilities


This pharmacology position requires a Scientist/Senior Scientist with at least 2 years industry experience in the preclinical development of cancer immunotherapies. The scientist will be responsible for validating therapeutics that have been engineered to engage a variety of immune effector pathways. Specifically, to develop novel animal models and conduct complex in vivo and ex vivo murine tumor studies with the goal of advancing leads to the clinic. The individual will be expected to have:
Strong background in one or more areas of tumor biology, immunology, oncology, and/or immuno-oncology
Experience with independent design, execution, analysis, and reporting of non-clinical animal pharmacology, pharmacokinetic (PK) and pharmacodynamic (PD) studies
Communicate key scientific data to project teams with clear interpretation of data and proposal of next steps
Qualifications
Ph.D. degree with a minimum of 2 years industry experience evaluating oncology or immuno-oncology drug products in preclinical efficacy models
Independently plan and execute complex anti-tumor efficacy, PK, and PD studies in mice including: cell culture, dosing (IV, SC, IP), tumor measurement, as well as the dissection of organs for subsequent ex vivo analysis
Design flow cytometry (FACS) panels and perform FACS analysis on human and murine cells, tumors, and tissues
Develop novel murine models to investigate combinatorial immuno-therapeutic strategies
Must be highly motivated and work successfully in cross-functional teams by contributing data and ideas
Demonstrated ability to multi-task, troubleshoot, think critically and interpret data
Clear and professional verbal and written communication skills, including maintaining detailed and accurate protocols and lab notebooks
Please submit resume for Req. #2039 to jobs@sutrobio.com. Please visit our website at www.sutrobio.comfor more information. Local candidates, SF Bay Area.

Sutro provides a competitive benefits package that includes a choice of health, dental, and vision insurance, life insurance, flexible spending accounts, 401K plan, PTO, and stock options.

Sutro Biopharma is committed to the diversity of our team and we are committed to Equal Employment Opportunity without regard for race, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity or religion.

Salaries listed on jobsites may not be representative of salary ranges at Sutro Biopharma.

Please be advised, inquiries or resumes from recruiters will not be accepted.",4.3,"Sutro Biopharma
4.3",United States,"South San Francisco, CA",51 to 200 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
4,R&D Scientist,$70K-$116K (Glassdoor est.),"Since 2001, Hygiena has been on a mission to be the global leader in rapid industrial diagnostic testing. Our world-class team of innovators, leaders, creators and problems solvers has helped Hygiena become the breakaway leader in the markets we serve. In our growing global business, there is always opportunity for talented and passionate individuals to grow with Hygiena.

We are currently recruiting for an R&D Scientist to join our Qualicon Diagnostics team located in Delaware!

In this role the R&D Scientist will be responsible for the development and improvement of rapid methods for microbial detection. Design, develop and help with commercialization of new molecular diagnostic products and implementing new technologies that are essential for Hygiena’s product base.

Responsibilities:
•Design and perform studies and experiments needed to improve current methods, assess and develop alternative methods, assays and technology
•Write protocols, analyze and interpret results
•Communicate results at team meetings

Qualifications:
•Ph.D. in Molecular Biology or a related field
oMinimum of 2 years of lab experience
OR
•Master’s Degree in Molecular Biology or a related field required.
oMinimum of 5 years of lab experience
•Hands-on experience in designing studies and experiments and analysis of failure modes with some supervision
•Knowledge of traditional and rapid microbiological techniques is required
•Experience in molecular biological techniques, including DNA/RNA techniques and PCR, qPCR/real time PCR is required
•Experience in Bioinformatics (Primer/Probe Design, multiple sequence alignments, Design of TaqMan and Scorpion probes) is desirable
•Experience in food microbiology, food safety a plus
•Experience in data analysis, interpretation and presentation of results
•Experience in Microsoft Office (Outlook, Word, Excel, PowerPoint) and Adobe Acrobat required.

Supervisory Responsibilities:
•Train and supervise junior level scientist and new employees as needed

Skills/Abilities:
•Assay Development
•Data analysis and interpretation
•Excellent verbal and written communication,
•Must be able to use discretion and independent judgement.
•Self-disciplined and organized
•Ability to multi-task and handle multiple projects
•Must be able to work in a team environment.
•Must be able to pay close attention to details.
•Must be able to adapt and flex to a changing environment.
•Must be able to lift/carry 20 pounds.

Working Conditions:
•May require occasional travel
•May occasionally work evenings and/or weekends.

Physical Demands:
•This position is considered light work - exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for sedentary work and the employee sits most of the time, the job is rated for light work.
•Required to have close visual acuity to perform an activity such as: viewing a computer screen
•Frequently required to maintaining a static position, talking, hearing, seeing and repetitive motions.

Work Environment:
•The work environment includes both a typical office environment and a laboratory environment, including exposure to Biosafety Level 2 pathogens

Why you’ll want to join our team.
Teamwork as a core value.
At Hygiena, our emphasis on teamwork and cross-functional communication enables us to build stronger bonds within our business.

Be a part of something big.
Hygiena plays a critical role in helping to prevent global health crisis such as foodborne illness, healthcare-associated infections, and other outbreaks.

Giving back to our communities.
Hygiena believes in giving back by supporting local organizations committed to improving the lives of children and youth in our communities.

Apply Now",3.9,"Hygiena
3.9","New Castle, DE","Camarillo, CA",201 to 500 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Ecolab, Eurofin Private Investment Office"
5,Data Scientist,$70K-$116K (Glassdoor est.),"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
6,Data Scientist,$70K-$116K (Glassdoor est.),"Company Overview

Imagine if we could match patients with the treatments that prove the most effective for them . . .
GNS Healthcare applies a powerful form of AI called causal machine learning to predict which treatments and care management programs will work for which patients, improving individual patient outcomes and the health of populations while reducing the total cost of care.

Headquartered in the biotechnology and health IT center of Cambridge, MA, our patented REFS technology is based on recent breakthroughs in causal machine learning and AI that transforms massive quantities of patient data into computer models of disease at molecular, patient, and health system levels. These computer models power up solutions, products, and services that health plans, biopharmaceutical companies, health systems, and patient foundations utilize to slow disease progression, reduce adverse events and hospitalization, and improve therapeutic effectiveness. Our platforms and solutions have been validated across more than 45 diseases including oncology, cardiovascular and metabolic disease, autoimmune diseases, neurology, etc. and have appeared in over 50 peer-reviewed publications.

Position Summary

The Data Scientist will join a dynamic team responsible for start-to-finish work on the analysis and interpretation of real-world datasets using GNSs powerful cloud-based analytics platform. We are looking for someone who thrives working in a fast-paced, exciting, and collaborative environment in one of the most cutting-edge industries where big data analytics meets healthcare. You will help manage real world data, as well as create and interpret data-frames for modeling and analysis. You will collaborate with our research scientists to carry out analysis projects using our proprietary, supercomputer-powered Bayesian network modeling and simulation platform, and will synthesize these results into meaningful reports for clients and product development.

Responsibilities
Collaborate with internal research teams and clients to evaluate study design, define research questions, design data frames, write statistical analysis plans/study protocols, conduct analyses, and participate in the full research process, including client presentation and publication
Communicate highly technical results and methods clearly to clients, discuss how to incorporate information into their processes, and achieve high client satisfaction
Troubleshoot with clients and internal stakeholders to refine and optimize models
Provide scientific communications to peer-reviewed journals and publications
Develop data frames of high complexity while adhering to a project-based timeline
Perform data manipulations and develop algorithms on multi-data sets that create the analytic files necessary to support analyses.
Consult on how to use data to perform predictive and causal modeling using both proprietary and off-the-shelf tools.
Qualifications

Minimum Qualifications: (Title commensurate with experience)
Relevant Bachelors Degree
Experience working with biomedical data/ population health data, EHR or claims data
Demonstrated experience working with programming languages R and SQL
Strong written and verbal communication; an ability to communicate technical material to non-technical audiences simply and clearly and collaborate well on a team
Strong drive for problem solving, especially around data frame construction and interpretation
Preferred Qualifications:
Masters Degree in a quantitative discipline or equivalent practical experience
Demonstrated experience working with advanced ML techniques, probability theory, Bayesian analysis, or causal inference methods
Experience working with large, complex, or unstructured data requiring post-processing to use effectively
Familiarity with the UNIX and cluster computing environment
Company Culture

Our philosophy at GNS is simple: we cannot transform healthcare with anything less than an all-star team. We are seeking smart, driven people who are experts in their field, have a track record of success and a passion for creating change. We believe that strong teams supercharge the performance of individuals, create a fun and dynamic workplace and great results for our clients and the people they serve.

We are passionate about our work and believe in the ability of our technology to change the world. Our core values of integrity, collaboration, value, diversity, and game-changing guide our behaviors with each other and our clients.

GNS offers competitive salaries, stock options, unlimited vacation, health, dental and vision insurance, life insurance, long-term disability, 401(k), generous parental leave, tuition reimbursement, professional development, subsidized parking and gym membership, tasty food, volunteering opportunities, social gatherings, and more.

Equal Employment Opportunity

GNS Healthcare provides equal employment opportunities to all employees and applicants for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity or expression, age, veteran status, disability, pregnancy or conditions related to pregnancy, or genetics. In addition to federal law requirements, GNS Healthcare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.

Powered by JazzHR",2.9,"GNS Healthcare
2.9","Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
7,Data Scientist,$70K-$116K (Glassdoor est.),"Returning Candidate? Log back in to the Career Portal and click on 'Job Browsing/History' and find the job you're looking for.

2020-064-INT: Data Scientist

Directorate Intelligence & Defense Solutions
Location Beavercreek, OH
Riverside Research is seeking a full-time data scientist to join a cross-functional team of artificial intelligence/machine learning (AI/ML) practitioner’s prototyping and implementing solutions for enduring customer challenges at the National Air and Space Intelligence Center (NASIC) Wright-Patterson AFB, Ohio. Candidates must be technically proficient and have real-word experience devising practical and sustainable solutions.

All Riverside Research opportunities require U.S. citizenship.

Job Responsibilities:
• Assess customer systems and processes for application of machine learning technologies
• Create and prototype machine learning approaches to demonstrate efficacy
• Perform basic and applied research in applying machine learning solutions to complex problems and datasets; document and present research results and the status of ongoing or emerging projects
• Participate in a multi-disciplinary, experienced, energetic team on a rapid development schedule
• Occasional travel may be required
• Other duties as assigned

Qualifications:
• US citizen able to qualify for a Top Secret clearance with SCI adjudication
• Bachelor’s degree in computer science, engineering, or related technical field
• Proficient with programming languages and software packages related to the development of machine learning algorithms including, but not limited to: Python, Tensorflow, PyTorch
• Self-motivated, detail oriented, responsible team player able to work independently with minimal daily direction; effective/efficient written/verbal communication skills
• Ability to work and interact with technically and organizationally diverse personnel

Desired Qualifications:
• Top Secret clearance with SCI adjudication
• Doctorate or Master’s degree in computer science, engineering, or related technical field with specialization in artificial intelligence
• Experience working with or in support of Department of Defense (DoD) or intelligence community (IC)
• Experience with one or more of the following: GPU/parallel processing such as NVIDIA’s CUDA, classification, pattern recognition, anomaly detection, pose estimation, or similar

Riverside Research strives to be one of America’s premier providers of independent, trusted technical and scientific expertise. As we continue to add experienced, technically astute staff, we are looking for highly motivated, talented team members that can help our DoD and Intelligence Community (IC) customers continue delivery of world class programs. As a not-for-profit, technology-oriented Defense Company, we believe service to customers and support of our staff is our mission. Our goal is to serve as a destination company by providing an industry-leading, positive, and rewarding employee experience for all who join us. We aspire to be a valued partner to our customers and to earn their trust through our unwavering commitment to achieve timely, innovative, cost-effective and mission-focused solutions.

All positions at Riverside Research are subject to background investigations. Employment is contingent upon successful completion of a background investigation including criminal history and identity check.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-741.5(a). This regulation prohibits discrimination against qualified individuals on the basis of disability, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified individuals with disabilities.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-300.5(a). This regulation prohibits discrimination against qualified protected veterans, and requires affirmative action by covered contractors and subcontractors to employ and advance in employment qualified protected veterans.

Apply Now",3.6,"Riverside Research Institute
3.6","Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),-1
8,"Data Scientist - Statistics, Early Career",$70K-$116K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
9,Data Scientist,$70K-$116K (Glassdoor est.),"The Senior Data Scientist will build and improve analytic pipelines to consolidate multiple data sources, perform analytic processing, and produce actionable business information (e.g., top-10 lists, pattern-matches, exceptions, or lists of #39;needles in the haystack#39;). S/he will apply hands-on development skills and experience as an expert in analytics, data science, pattern recognition, and",3.7,"Powertek
3.7","Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
